team,priColor,sndColor
WAS,#773141,#FFB612
DAL,#041E42,#869397
BAL,#241773,#000000
HOU,#03202F,#A71930
SFO,#AA0000,#B3995D
JAX,#101820,#D7A22A
NWE,#002244,#C60C30
NOR,#D3BC8D,#101820
IND,#002C5F,#A2AAAD
OAK,#000000,#A5ACAF
CIN,#FB4F14,#000000
TAM,#D50A0A,#FF7900
PHI,#004C54,#A5ACAF
ARI,#97233F,#000000
CHI,#0B162A,#C83803
LAR,#002244,#866D4B
GNB,#203731,#FFB612
CLE,#311D00,#FF3C00
DEN,#FB4F14,#002244
TEN,#0C2340,#4B92DB
NYJ,#125740,#000000
MIA,#008E97,#FC4C02
CAR,#0085CA,#101820
PIT,#FFB612,#101820
ATL,#A71930,#000000
KAN,#E31837,#FFB81C
BUF,#00338D,#C60C30
SEA,#002244,#69BE28
LAC,#002A5E,#FFC20E
MIN,#4F2683,#FFC62F
NYG,#0B2265,#A71930
DET,#0076B6,#B0B7BC
STL,#002244,#866D4B
SDG,#002A5E,#FFC20E
RAM,#121111,#ffffff
PHO,#121111,#ffffff
RAI,#121111,#ffffff
BOS,#121111,#ffffff
NYT,#121111,#ffffff
DTX,#121111,#ffffff
CRD,#121111,#ffffff
NYY,#121111,#ffffff
